weekid,pop,spotify_track_duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_1.0,key_10.0,key_11.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,mode_True
1997-10-18,0.11940298507462686,0.5208292564947387,0.4259010100347759,0.2734284166911569,0.3879584629961735,0.5102877501868532,-0.8205641128538028,-0.3438700977148364,0.29866047801991197,0.8930868586899336,1.374071329071102,0.2483131620902163,0.027085651115427028,-0.4866039859697646,0.29255115659825603,-0.5668764294052044,0.8674532330036339,-0.4548345856633697,1.3974364328650404,-0.6095490527360309,1.9103049825293763,-0.4952867384912797,-0.5320997194285073,-1.0333944615933663
1997-10-25,0.11428571428571428,0.5208292564947387,0.4259010100347747,0.2734284166911569,0.38795846299617376,0.5102877501868532,-0.8205641128538029,-0.3438700977148364,0.29866047801991197,0.8930868586899336,1.374071329071102,0.2483131620902163,0.027085651115427028,-0.4866039859697646,0.29255115659825603,-0.5668764294052044,0.8674532330036339,-0.4548345856633697,1.3974364328650404,-0.6095490527360309,1.9103049825293763,-0.4952867384912797,-0.5320997194285073,-1.0333944615933663
1997-11-01,0.11764705882352941,0.5208292564947387,0.4259010100347759,0.27342841669115603,0.38795846299617376,0.5102877501868537,-0.8205641128538029,-0.3438700977148364,0.29866047801991163,0.8930868586899344,1.374071329071102,0.2483131620902163,0.027085651115427028,-0.4866039859697646,0.29255115659825603,-0.5668764294052044,0.8674532330036339,-0.4548345856633697,1.3974364328650404,-0.6095490527360309,1.9103049825293763,-0.4952867384912797,-0.5320997194285073,-1.0333944615933663
1997-11-08,0.11428571428571428,0.5208292564947387,0.4259010100347759,0.27342841669115603,0.3879584629961735,0.5102877501868532,-0.8205641128538029,-0.3438700977148364,0.29866047801991197,0.8930868586899344,1.3740713290711,0.2483131620902163,0.027085651115427028,-0.4866039859697646,0.29255115659825603,-0.5668764294052044,0.8674532330036339,-0.4548345856633697,1.3974364328650404,-0.6095490527360309,1.9103049825293763,-0.4952867384912797,-0.5320997194285073,-1.0333944615933663
1997-11-15,0.1232876712328767,0.27175259766465437,0.27911025045512683,0.5671730309771805,0.4595914142621809,0.37413921965330277,-0.8802007086767559,-0.2762595025255613,0.529778511319354,0.8757642147568173,1.259722406378466,0.2483131620902163,0.5691470377516369,-0.4866039859697646,0.18860363405663086,-0.5668764294052044,0.7358133047842711,-0.4548345856633697,1.1660345500102516,-0.6095490527360309,1.6194394791501416,-0.4952867384912797,-0.5320997194285073,-0.7639551101779078
1997-11-22,0.13333333333333333,0.21751955031675038,0.15145623593479926,0.5174624039441614,0.5510262552257252,0.2562087253811363,-0.8888612775189744,-0.28666386360334334,0.5097274076849487,0.8646322861965188,1.5542447320784198,0.2483131620902163,0.44524729223478904,-0.4866039859697646,0.10544561602333083,-0.5668764294052044,0.6305013622087811,-0.4548345856633697,0.980913043726421,0.25325778485299405,1.3867470764467538,-0.4952867384912797,-0.5320997194285073,-0.9363962950838012
1997-11-29,0.12987012987012986,0.21751955031675038,0.15145623593479926,0.5174624039441605,0.5510262552257246,0.2562087253811363,-0.8888612775189744,-0.28666386360334334,0.5097274076849475,0.8646322861965188,1.5542447320784198,0.2483131620902163,0.44524729223478904,-0.4866039859697646,0.10544561602333083,-0.5668764294052044,0.6305013622087811,-0.4548345856633697,0.980913043726421,0.25325778485299405,1.3867470764467538,-0.4952867384912797,-0.5320997194285073,-0.9363962950838012
1997-12-06,0.136986301369863,0.011478113471615939,0.18723115993293357,0.49143211197050785,0.6738272286757232,0.3463254238343954,-0.717010412075381,-0.28704401199874124,0.153230051076825,0.8230579407570369,1.6051668580214675,0.2483131620902163,1.0027961470606048,-0.4866039859697646,0.10544561602333083,-0.5668764294052044,0.6305013622087811,-0.4548345856633697,0.980913043726421,0.25325778485299405,0.6886698683365906,-0.4952867384912797,-0.5320997194285073,-0.9363962950838012
1997-12-13,0.11428571428571428,0.052277105767577804,0.20741843847473884,0.5408489943892416,0.7371512895462425,0.12478854013679996,-0.5718265853939052,-0.299663662108207,0.41825698154162316,0.6196162667622,0.868588453296659,0.2483131620902163,1.4209577881799667,-0.4866039859697646,0.29255115659825603,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,1.3974364328650404,0.46895949425025024,0.16511196225396801,-0.4952867384912797,-0.5320997194285073,-0.548403629045541
1997-12-20,0.12,0.2314553630758938,0.0996677745279755,0.30506245207580607,0.6225205191706231,-0.010803714480372912,-0.34740143050934347,-0.30862360112989307,0.3244734274835104,0.21542124165613225,0.44683906660331907,0.2483131620902163,1.1886457653358766,-0.4866039859697646,0.18860363405663086,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,1.1660345500102516,0.3491252112517745,0.8437981368055156,-0.4952867384912797,-0.5320997194285073,-0.33285214791317397
1997-12-27,0.13333333333333333,0.36912578656431694,0.32419801181150776,0.23926365847573555,0.5310210841123164,0.10434540020990313,-0.40678335348924194,-0.3023634249476133,0.20737881749657622,0.12719881463064034,0.4304732537091946,0.2483131620902163,1.0027961470606048,-0.4866039859697646,0.10544561602333083,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,0.980913043726421,0.25325778485299405,1.3867470764467538,-0.4952867384912797,-0.5320997194285073,-0.1604109630072807
